"Date","Start.Time","End.Time","Minutes.Asleep","Minutes.Awake","Number.of.Awakenings","Time.in.Bed","Minutes.REM.Sleep","Minutes.Light.Sleep","Minutes.Deep.Sleep","HrsAsleep","HrsAwake","Hrs.in.bed","Hrs.REM","Hrs.light","Hrs.deep"
2019-04-01,2019-04-02 01:13:00,2019-04-02 07:49:00,344,52,14,396,50,192,102,5.73,0.87,6.6,0.83,3.2,1.7
2019-04-02,2019-04-03 02:30:00,2019-04-03 07:24:00,273,21,15,294,85,113,75,4.55,0.35,4.9,1.42,1.88,1.25
2019-04-03,2019-04-03 16:12:00,2019-04-03 19:19:00,173,14,7,187,49,97,27,2.88,0.23,3.12,0.82,1.62,0.45
2019-04-03,2019-04-04 03:31:00,2019-04-04 07:24:00,219,14,17,233,20,154,45,3.65,0.23,3.88,0.33,2.57,0.75
2019-04-04,2019-04-05 00:21:00,2019-04-05 06:49:00,356,30,3,388,NA,NA,NA,5.93,0.5,6.47,NA,NA,NA
2019-04-05,2019-04-06 01:39:00,2019-04-06 07:07:00,263,65,10,328,51,155,57,4.38,1.08,5.47,0.85,2.58,0.95
2019-04-06,2019-04-07 01:05:00,2019-04-07 08:16:00,387,44,19,431,91,214,82,6.45,0.73,7.18,1.52,3.57,1.37
2019-04-07,2019-04-07 23:47:00,2019-04-08 03:42:00,223,12,12,235,41,123,59,3.72,0.2,3.92,0.68,2.05,0.98
2019-04-07,2019-04-08 06:46:00,2019-04-08 10:36:00,205,25,17,230,42,123,40,3.42,0.42,3.83,0.7,2.05,0.67
2019-04-08,2019-04-09 02:25:00,2019-04-09 09:32:00,368,59,23,427,115,183,70,6.13,0.98,7.12,1.92,3.05,1.17
2019-04-09,2019-04-10 02:36:00,2019-04-10 08:12:00,304,32,16,336,77,168,59,5.07,0.53,5.6,1.28,2.8,0.98
2019-04-10,2019-04-11 02:59:00,2019-04-11 09:52:00,358,55,13,413,82,207,69,5.97,0.92,6.88,1.37,3.45,1.15
2019-04-11,2019-04-12 04:52:00,2019-04-12 10:20:00,290,38,17,328,40,189,61,4.83,0.63,5.47,0.67,3.15,1.02
2019-04-12,2019-04-13 06:33:00,2019-04-13 10:41:00,229,19,13,248,41,109,79,3.82,0.32,4.13,0.68,1.82,1.32
2019-04-13,2019-04-14 03:35:00,2019-04-14 07:48:00,216,37,12,253,38,138,40,3.6,0.62,4.22,0.63,2.3,0.67
2019-04-14,2019-04-15 02:33:00,2019-04-15 05:59:00,186,20,19,206,57,92,37,3.1,0.33,3.43,0.95,1.53,0.62
2019-04-17,2019-04-17 22:50:00,2019-04-18 05:25:00,360,35,15,395,85,206,69,6,0.58,6.58,1.42,3.43,1.15
2019-04-16,2019-04-17 00:21:00,2019-04-17 07:44:00,412,31,25,443,107,209,96,6.87,0.52,7.38,1.78,3.48,1.6
2019-04-18,2019-04-19 04:08:00,2019-04-19 09:29:00,293,28,12,321,68,139,86,4.88,0.47,5.35,1.13,2.32,1.43
2019-04-19,2019-04-20 02:35:00,2019-04-20 09:34:00,373,46,32,419,83,221,69,6.22,0.77,6.98,1.38,3.68,1.15
2019-04-21,2019-04-21 22:53:00,2019-04-22 09:15:00,546,76,33,622,137,303,106,9.1,1.27,10.37,2.28,5.05,1.77
2019-04-20,2019-04-21 03:04:00,2019-04-21 09:28:00,343,41,23,384,72,190,81,5.72,0.68,6.4,1.2,3.17,1.35
2019-04-22,2019-04-22 22:48:00,2019-04-23 05:30:00,338,64,22,402,44,228,66,5.63,1.07,6.7,0.73,3.8,1.1
2019-04-24,2019-04-25 02:51:00,2019-04-25 07:29:00,239,39,15,278,37,164,38,3.98,0.65,4.63,0.62,2.73,0.63
2019-04-25,2019-04-26 00:25:00,2019-04-26 06:51:00,351,35,28,386,71,180,100,5.85,0.58,6.43,1.18,3,1.67
2019-04-26,2019-04-27 01:43:00,2019-04-27 10:07:00,456,48,22,504,93,283,80,7.6,0.8,8.4,1.55,4.72,1.33
2019-04-28,2019-04-28 23:21:00,2019-04-29 07:30:00,444,44,22,488,94,229,121,7.4,0.73,8.13,1.57,3.82,2.02
2019-04-27,2019-04-28 04:08:00,2019-04-28 10:24:00,333,43,14,376,74,185,74,5.55,0.72,6.27,1.23,3.08,1.23
2019-04-29,2019-04-29 23:12:00,2019-04-30 07:30:00,450,48,17,498,97,257,96,7.5,0.8,8.3,1.62,4.28,1.6
2019-04-30,2019-05-01 00:32:00,2019-05-01 06:43:00,332,39,22,371,89,154,89,5.53,0.65,6.18,1.48,2.57,1.48
2019-05-01,2019-05-02 00:03:00,2019-05-02 07:16:00,391,42,27,433,86,236,69,6.52,0.7,7.22,1.43,3.93,1.15
2019-05-03,2019-05-03 23:55:00,2019-05-04 07:03:00,387,41,16,428,123,207,57,6.45,0.68,7.13,2.05,3.45,0.95
2019-05-02,2019-05-03 00:41:00,2019-05-03 07:08:00,366,21,3,387,NA,NA,NA,6.1,0.35,6.45,NA,NA,NA
2019-05-04,2019-05-04 22:07:00,2019-05-05 00:55:00,162,6,0,168,NA,NA,NA,2.7,0.1,2.8,NA,NA,NA
2019-05-04,2019-05-05 04:56:00,2019-05-05 07:46:00,167,3,0,170,NA,NA,NA,2.78,0.05,2.83,NA,NA,NA
2019-05-06,2019-05-06 22:44:00,2019-05-07 06:03:00,395,44,17,439,83,222,90,6.58,0.73,7.32,1.38,3.7,1.5
2019-05-05,2019-05-06 00:33:00,2019-05-06 06:58:00,353,32,25,385,94,162,97,5.88,0.53,6.42,1.57,2.7,1.62
2019-05-08,2019-05-08 22:59:00,2019-05-09 06:14:00,404,31,19,435,120,223,61,6.73,0.52,7.25,2,3.72,1.02
2019-05-07,2019-05-08 02:05:00,2019-05-08 08:07:00,318,44,15,362,57,205,56,5.3,0.73,6.03,0.95,3.42,0.93
2019-05-09,2019-05-09 23:58:00,2019-05-10 03:25:00,187,20,15,207,26,123,38,3.12,0.33,3.45,0.43,2.05,0.63
2019-05-09,2019-05-10 05:02:00,2019-05-10 07:36:00,144,10,1,154,NA,NA,NA,2.4,0.17,2.57,NA,NA,NA
2019-05-10,2019-05-11 00:02:00,2019-05-11 08:15:00,430,63,28,493,113,227,90,7.17,1.05,8.22,1.88,3.78,1.5
2019-05-11,2019-05-12 02:11:00,2019-05-12 08:23:00,331,41,23,372,72,158,101,5.52,0.68,6.2,1.2,2.63,1.68
2019-05-13,2019-05-14 01:08:00,2019-05-14 08:22:00,388,46,26,434,79,219,90,6.47,0.77,7.23,1.32,3.65,1.5
